"Trap","Year","Start.date","Start.month","End.date","End.month","Empty","o/u","FHL","Family","Genus","Art","Species","Number","Stratum","TreeSp"
"1",2017,29,3,12,4,"1","u","50-.009-.001-.","Nitidulidae","Epuraea","melanocephala","Epuraea melanocephala",10,"Lower","Tilia"
"1",2017,29,3,12,4,"1","u","531.011-.001-.","Silvanidae","Uleiota","planatus","Uleiota planatus",1,"Lower","Tilia"
"1",2017,29,3,12,4,"1","u","91-.011-.003-.","Curculionidae","Hylesinus","varius","Hylesinus varius",8,"Lower","Tilia"
"1",2017,29,3,12,4,"1","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",1,"Lower","Tilia"
"1",2017,29,3,12,4,"1","u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","Brassicogethes aeneus",1,"Lower","Tilia"
"1",2017,29,3,12,4,"1","u","52-.001-.009-.","Monotomidae","Rhizophagus","bipustulatus","Rhizophagus bipustulatus",1,"Lower","Tilia"
"1",2017,29,3,12,4,"1","u","68-.008-.002-.","Ptinidae","Oligomerus","brunneus","Oligomerus brunneus",1,"Lower","Tilia"
"1",2017,29,3,12,4,"1","u","93-.103-.001-.","Curculionidae","Lignyodes","enucleator","Lignyodes enucleator",1,"Lower","Tilia"
"1",2017,29,3,12,4,"1","u","23-.114-.007-.","Staphylinidae","Tachyporus","hypnorum","Tachyporus hypnorum",1,"Lower","Tilia"
"1",2017,29,3,12,4,"1","o","55-.014-.046-.","Cryptophagidae","Atomaria","linearis","Atomaria linearis",1,"Lower","Tilia"
"1",2017,29,3,12,4,"1","u","55-.008-.027-.","Cryptophagidae","Cryptophagus","quadridentatus","Cryptophagus quadridentatus",1,"Lower","Tilia"
"1",2017,29,3,12,4,"1","u","62-.031-.002-.","Coccinellidae","Calvia","quatuordecimguttata","Calvia quatuordecimguttata",1,"Lower","Tilia"
"1",2017,5,7,19,7,"8","u","68-.008-.002-.","Ptinidae","Oligomerus","brunneus","Oligomerus brunneus",2,"Lower","Tilia"
