"Trap","Year","Start.date","Start.month","End.date","End.month","Empty","o/u","FHL","Family","Genus","Art","Ref","Number","Stratum","TreeSp"
"1",2018,27,3,11,4,1,"o","62-.023-.002-.","Coccinellidae","Adalia","decempunctata","L., 1758",1,"Lower","Tilia"
"1",2018,24,4,8,5,3,"u","82-.008-.002-.","Tenebrionidae","Mycetochara","axillaris","Payk., 1799",1,"Lower","Tilia"
"1",2018,11,9,26,9,13,"u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Herbst, 1793",1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","27-.008-.001-.","Cantharidae","Malthinus","flaveolus","Herbst, 1786",1,"Lower","Tilia"
"1",2018,24,4,8,5,3,"u","91-.028-.001-.","Curculionidae","Ernoporus","tiliae","Panzer, 1793",1,"Lower","Tilia"
"1",2018,24,4,8,5,3,"u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Ratz., 1837",1,"Lower","Tilia"
"1",2018,27,3,11,4,1,"u","91-.038-.002-.","Curculionidae","Trypodendron","signatum","F., 1792",1,"Lower","Tilia"
"1",2018,24,4,8,5,3,"u","492.002-.002-.","Cerylonidae","Cerylon","histeroides","F., 1792",1,"Lower","Tilia"
"1",2018,24,4,8,5,3,"u","492.002-.003-.","Cerylonidae","Cerylon","ferrugineum Steph., 1830",NA,2,"Lower","Tilia"
"1",2018,27,3,11,4,1,"u","91-.011-.003-.","Curculionidae","Hylesinus","varius","F., 1775",1,"Lower","Tilia"
"1",2018,24,4,8,5,3,"u","58-.003-.0081.","Latridiidae","Latridius","hirtus Gyll., 1827",NA,1,"Lower","Tilia"
"1",2018,24,4,8,5,3,"u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Herbst, 1793",2,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","30-.005-.009-.","Dasytidae","Dasytes","aeratus Steph., 1830",NA,3,"Lower","Tilia"
"1",2018,24,4,8,5,3,"u","52-.001-.009-.","Monotomidae","Rhizophagus","bipustulatus","F., 1792",1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","34-.0011.001-.","Elateridae","Brachygonus","megerlei","Lacord., 1835",1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","34-.041-.001-.","Elateridae","Athous","haemorrhoidalis","F., 1801",3,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","34-.041-.003-.","Elateridae","Athous","subfuscus (O. Müller, 1764)",NA,1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","321.001-.001-.","Trogossitidae","Nemozoma","elongatum","L., 1761",4,"Lower","Tilia"
"1",2018,11,4,24,4,2,"0","23-.xxx-.xxx-.","Staphylinidae","Staphylinidae","spec.",NA,1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"o","87-.080-.002-.","Cerambycidae","Exocentrus","lusitanus","L., 1767",1,"Lower","Tilia"
